date,name,iso,lat,long,confirmed,deaths,recovered,active,fatality_rate,last_update
2020-02-01,China,CHN,30.9756,112.2707,7153,249,168,6736,0.0348,2020-02-01 11:53:00
2020-02-01,China,CHN,29.1832,120.0934,599,0,21,578,0.0,2020-02-01 10:53:00
2020-02-01,China,CHN,23.3417,113.4244,535,0,14,521,0.0,2020-02-01 14:23:00
2020-02-01,China,CHN,33.8820,113.6140,422,2,3,417,0.0047,2020-02-01 01:52:00
2020-02-01,China,CHN,27.6104,111.7088,389,0,8,381,0.0,2020-02-01 11:03:00
2020-02-01,China,CHN,31.8257,117.2264,297,0,5,292,0.0,2020-02-01 13:33:00
2020-02-01,China,CHN,27.6140,115.7221,286,0,9,277,0.0,2020-02-01 01:52:00
2020-02-01,China,CHN,30.0572,107.8740,247,1,3,243,0.004,2020-02-01 08:43:00
2020-02-01,China,CHN,30.6171,102.7103,207,1,3,203,0.0048,2020-02-01 01:52:00
2020-02-01,China,CHN,36.3427,118.1498,206,0,3,203,0.0,2020-02-01 07:51:00
2020-02-01,China,CHN,32.9711,119.4550,202,0,6,196,0.0,2020-02-01 14:03:00
2020-02-01,China,CHN,31.2020,121.4491,169,1,10,158,0.0059,2020-02-01 06:05:00
2020-02-01,China,CHN,40.1824,116.4142,168,1,9,158,0.006,2020-02-01 09:17:00
2020-02-01,China,CHN,26.0789,117.9874,144,0,0,144,0.0,2020-02-01 05:37:00
2020-02-01,China,CHN,35.1917,108.8701,101,0,0,101,0.0,2020-02-01 05:37:00
2020-02-01,China,CHN,23.8298,108.7881,100,0,2,98,0.0,2020-02-01 01:52:00
2020-02-01,China,CHN,38.0428,114.5149,96,1,0,95,0.0104,2020-02-01 01:52:00
2020-02-01,China,CHN,24.9740,101.4870,93,0,2,91,0.0,2020-02-01 15:53:00
2020-02-01,China,CHN,47.8620,127.7615,80,2,2,76,0.025,2020-02-01 10:33:00
2020-02-01,China,CHN,41.2956,122.6085,64,0,1,63,0.0,2020-02-01 15:23:00
2020-02-01,China,CHN,19.1959,109.7453,62,1,1,60,0.0161,2020-02-01 08:43:00
2020-02-01,China,CHN,37.5777,112.2922,47,0,1,46,0.0,2020-02-01 01:52:00
2020-02-01,China,CHN,39.3054,117.3230,41,0,0,41,0.0,2020-02-01 15:43:00
2020-02-01,China,CHN,36.0611,103.8343,40,0,0,40,0.0,2020-02-01 15:43:00
2020-02-01,China,CHN,26.8154,106.8748,29,0,2,27,0.0,2020-01-31 15:20:00
2020-02-01,China,CHN,37.2692,106.1655,26,0,0,26,0.0,2020-02-01 02:13:00
2020-02-01,China,CHN,44.0935,113.9448,23,0,1,22,0.0,2020-02-01 05:37:00
2020-02-01,Japan,JPN,36.2048,138.2529,20,0,1,19,0.0,2020-02-01 18:53:00
2020-02-01,Thailand,THA,15.8700,100.9925,19,0,5,14,0.0,2020-01-31 10:37:00
2020-02-01,China,CHN,41.1129,85.2401,18,0,0,18,0.0,2020-02-01 05:37:00
2020-02-01,China,CHN,43.6661,126.1923,17,0,1,16,0.0,2020-02-01 01:52:00
2020-02-01,Singapore,SGP,1.3521,103.8198,16,0,0,16,0.0,2020-02-01 05:37:00
2020-02-01,China,CHN,22.3000,114.2000,13,0,0,13,0.0,2020-02-01 05:37:00
2020-02-01,"Korea, South",KOR,35.9078,127.7669,12,0,0,12,0.0,2020-02-01 10:43:00
